DEB [20180508-20:44:25.701] thr=1   paramiko.transport: starting thread (client mode): 0x374f90f0
DEB [20180508-20:44:25.935] thr=1   paramiko.transport: kex engine KexGexSHA256 specified hash_algo <built-in function openssl_sha256>
DEB [20180508-20:44:25.937] thr=1   paramiko.transport: Switch to new keys ...
DEB [20180508-20:44:25.938] thr=2   paramiko.transport: Attempting password auth...
DEB [20180508-20:44:25.991] thr=1   paramiko.transport: userauth is OK
INF [20180508-20:44:26.038] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20180508-20:44:26.741] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20180508-20:44:26.756] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20180508-20:44:26.756] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20180508-20:44:26.766] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
INF [20180508-20:44:26.829] thr=2   paramiko.transport.sftp: [chan 0] Opened sftp connection (server version 3)
DEB [20180508-20:44:27.380] thr=2   paramiko.transport.sftp: [chan 0] stat(b'data')
DEB [20180508-20:44:27.388] thr=2   paramiko.transport.sftp: [chan 0] normalize(b'data')
DEB [20180508-20:48:40.708] thr=1   paramiko.transport: starting thread (client mode): 0xc35a9208
DEB [20180508-20:48:40.710] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.1
DEB [20180508-20:48:40.711] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_5.3
INF [20180508-20:48:40.711] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_5.3)
DEB [20180508-20:48:40.722] thr=1   paramiko.transport: kex algos:['diffie-hellman-group-exchange-sha256', 'diffie-hellman-group-exchange-sha1', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa', 'ssh-dss'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'arcfour256', 'arcfour128', 'aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'aes192-cbc', 'aes256-cbc', 'arcfour', 'rijndael-cbc@lysator.liu.se'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'arcfour256', 'arcfour128', 'aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'aes192-cbc', 'aes256-cbc', 'arcfour', 'rijndael-cbc@lysator.liu.se'] client mac:['hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20180508-20:48:40.722] thr=1   paramiko.transport: Kex agreed: diffie-hellman-group-exchange-sha256
DEB [20180508-20:48:40.723] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20180508-20:48:40.723] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20180508-20:48:40.723] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20180508-20:48:40.724] thr=1   paramiko.transport: Compression agreed: none
DEB [20180508-20:48:40.766] thr=1   paramiko.transport: Got server p (2048 bits)
DEB [20180508-20:48:41.004] thr=1   paramiko.transport: kex engine KexGexSHA256 specified hash_algo <built-in function openssl_sha256>
DEB [20180508-20:48:41.006] thr=1   paramiko.transport: Switch to new keys ...
DEB [20180508-20:48:41.007] thr=2   paramiko.transport: Attempting password auth...
DEB [20180508-20:48:41.054] thr=1   paramiko.transport: userauth is OK
INF [20180508-20:48:41.088] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20180508-20:48:42.899] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20180508-20:48:42.903] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20180508-20:48:42.903] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20180508-20:48:42.910] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
INF [20180508-20:48:42.964] thr=2   paramiko.transport.sftp: [chan 0] Opened sftp connection (server version 3)
DEB [20180508-20:48:43.592] thr=2   paramiko.transport.sftp: [chan 0] stat(b'data')
DEB [20180508-20:48:43.601] thr=2   paramiko.transport.sftp: [chan 0] normalize(b'data')
DEB [20180508-20:48:46.744] thr=2   paramiko.transport.sftp: [chan 0] open(b'/home/suihf/data/192.168.1.100.tar.gz', 'wb')
DEB [20180508-20:48:46.764] thr=2   paramiko.transport.sftp: [chan 0] open(b'/home/suihf/data/192.168.1.100.tar.gz', 'wb') -> 00000000
DEB [20180508-20:48:48.020] thr=2   paramiko.transport.sftp: [chan 0] close(00000000)
DEB [20180508-20:48:48.049] thr=2   paramiko.transport.sftp: [chan 0] stat(b'/home/suihf/data/192.168.1.100.tar.gz')
DEB [20180508-20:48:49.330] thr=1   paramiko.transport: EOF in transport thread
DEB [20180508-20:56:55.508] thr=1   paramiko.transport: starting thread (client mode): 0xc8997f28
DEB [20180508-20:56:55.509] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.1
DEB [20180508-20:56:55.510] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_5.3
INF [20180508-20:56:55.510] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_5.3)
DEB [20180508-20:56:55.518] thr=1   paramiko.transport: kex algos:['diffie-hellman-group-exchange-sha256', 'diffie-hellman-group-exchange-sha1', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa', 'ssh-dss'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'arcfour256', 'arcfour128', 'aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'aes192-cbc', 'aes256-cbc', 'arcfour', 'rijndael-cbc@lysator.liu.se'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'arcfour256', 'arcfour128', 'aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'aes192-cbc', 'aes256-cbc', 'arcfour', 'rijndael-cbc@lysator.liu.se'] client mac:['hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20180508-20:56:55.519] thr=1   paramiko.transport: Kex agreed: diffie-hellman-group-exchange-sha256
DEB [20180508-20:56:55.519] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20180508-20:56:55.520] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20180508-20:56:55.520] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20180508-20:56:55.521] thr=1   paramiko.transport: Compression agreed: none
DEB [20180508-20:56:55.565] thr=1   paramiko.transport: Got server p (2048 bits)
DEB [20180508-20:56:55.788] thr=1   paramiko.transport: kex engine KexGexSHA256 specified hash_algo <built-in function openssl_sha256>
DEB [20180508-20:56:55.790] thr=1   paramiko.transport: Switch to new keys ...
DEB [20180508-20:56:55.791] thr=2   paramiko.transport: Attempting password auth...
DEB [20180508-20:56:55.831] thr=1   paramiko.transport: userauth is OK
INF [20180508-20:56:55.866] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20180508-20:56:56.581] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20180508-20:56:56.589] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20180508-20:56:56.590] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20180508-20:56:56.602] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
INF [20180508-20:56:56.662] thr=2   paramiko.transport.sftp: [chan 0] Opened sftp connection (server version 3)
DEB [20180508-20:56:57.395] thr=2   paramiko.transport.sftp: [chan 0] stat(b'data')
DEB [20180508-20:56:57.409] thr=2   paramiko.transport.sftp: [chan 0] normalize(b'data')
DEB [20180508-20:56:58.257] thr=2   paramiko.transport.sftp: [chan 0] open(b'/home/suihf/data/ftp_upload.txt', 'wb')
DEB [20180508-20:56:58.279] thr=2   paramiko.transport.sftp: [chan 0] open(b'/home/suihf/data/ftp_upload.txt', 'wb') -> 00000000
DEB [20180508-20:56:58.287] thr=2   paramiko.transport.sftp: [chan 0] close(00000000)
DEB [20180508-20:56:58.298] thr=2   paramiko.transport.sftp: [chan 0] stat(b'/home/suihf/data/ftp_upload.txt')
DEB [20180508-20:56:58.775] thr=1   paramiko.transport: EOF in transport thread
